Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2009-06-01, 70, 39, 54.5, 0.00, 0.0, 0
2009-06-02, 76, 59, 67.5, T, 0.0, 0
2009-06-03, 77, 54, 65.5, 0.00, 0.0, 0
2009-06-04, 72, 52, 62.0, 0.00, 0.0, 0
2009-06-05, 71, 50, 60.5, 0.00, 0.0, 0
2009-06-06, 80, 57, 68.5, 0.00, 0.0, 0
2009-06-07, 80, 56, 68.0, 0.00, 0.0, 0
2009-06-08, 77, 58, 67.5, 0.00, 0.0, 0
2009-06-09, 76, 58, 67.0, 0.33, 0.0, 0
2009-06-10, 73, 59, 66.0, 0.00, 0.0, 0
2009-06-11, 74, 59, 66.5, 0.04, 0.0, 0
2009-06-12, 79, 62, 70.5, 0.95, 0.0, 0
2009-06-13, 80, 61, 70.5, 0.00, 0.0, 0
2009-06-14, 77, 60, 68.5, 0.58, 0.0, 0
2009-06-15, 77, 57, 67.0, 0.44, 0.0, 0
2009-06-16, 74, 54, 64.0, 0.07, 0.0, 0
2009-06-17, 73, 54, 63.5, 0.00, 0.0, 0
2009-06-18, 71, 56, 63.5, 1.29, 0.0, 0
2009-06-19, 78, 61, 69.5, 0.09, 0.0, 0
2009-06-20, 78, 60, 69.0, 0.08, 0.0, 0
2009-06-21, 76, 64, 70.0, 1.64, 0.0, 0
2009-06-22, 75, 65, 70.0, 0.08, 0.0, 0
2009-06-23, 82, 66, 74.0, 0.00, 0.0, 0
2009-06-24, 82, 63, 72.5, T, 0.0, 0
2009-06-25, 85, 61, 73.0, 0.00, 0.0, 0
2009-06-26, 85, 64, 74.5, 0.84, 0.0, 0
2009-06-27, 75, 63, 69.0, 0.77, 0.0, 0
2009-06-28, 80, 60, 70.0, 0.00, 0.0, 0
